Constituency,Const. No.,Leading Candidate,Leading Party,Seats,Trailing Candidate,Trailing Party,Seats.1,Margin,State
CHIDAMBARAM,27,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,2,CHANDRAHASAN M,All India Anna Dravida Munnetra Kazhagam,0,103554,Tamil Nadu
COIMBATORE,20,GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam,22,ANNAMALAI K,Bharatiya Janata Party,0,118068,Tamil Nadu
CUDDALORE,26,M.K. VISHNUPRASAD,Indian National Congress,9,P. SIVAKOZHUNDU,Desiya Murpokku Dravida Kazhagam,0,185896,Tamil Nadu
DHARMAPURI,10,MANI. A.,Dravida Munnetra Kazhagam,22,SOWMIYA ANBUMANI,Pattali Makkal Katchi,0,21300,Tamil Nadu
DINDIGUL,22,SACHITHANANTHAM R,Communist Party of India  (Marxist),2,MOHAMED MUBARAK M A,All India Anna Dravida Munnetra Kazhagam,0,443821,Tamil Nadu
ERODE,17,K E PRAKASH,Dravida Munnetra Kazhagam,22,ASHOK KUMAR,All India Anna Dravida Munnetra Kazhagam,0,236566,Tamil Nadu
KALLAKURICHI,14,MALAIYARASAN D,Dravida Munnetra Kazhagam,22,KUMARAGURU R,All India Anna Dravida Munnetra Kazhagam,0,53784,Tamil Nadu
KANCHEEPURAM,6,SELVAM. G,Dravida Munnetra Kazhagam,22,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,0,221473,Tamil Nadu
KANNIYAKUMARI,39,VIJAYAKUMAR (Alias) VIJAY VASANTH,Indian National Congress,9,RADHAKRISHNAN P,Bharatiya Janata Party,0,179907,Tamil Nadu
KARUR,23,JOTHIMANI. S,Indian National Congress,9,THANGAVEL. L,All India Anna Dravida Munnetra Kazhagam,0,166816,Tamil Nadu
KRISHNAGIRI,9,GOPINATH K,Indian National Congress,9,JAYAPRAKASH V,All India Anna Dravida Munnetra Kazhagam,0,192486,Tamil Nadu
MADURAI,32,VENKATESAN S,Communist Party of India  (Marxist),2,RAAMA SREENIVASAN,Bharatiya Janata Party,0,209409,Tamil Nadu
MAYILADUTHURAI,28,SUDHA R,Indian National Congress,9,BABU P,All India Anna Dravida Munnetra Kazhagam,0,271183,Tamil Nadu
NAGAPATTINAM,29,SELVARAJ V,Communist Party of India,2,DR SURSITH SANKAR G,All India Anna Dravida Munnetra Kazhagam,0,208957,Tamil Nadu
NAMAKKAL,16,MATHESWARAN V S,Dravida Munnetra Kazhagam,22,TAMILMANI S,All India Anna Dravida Munnetra Kazhagam,0,29112,Tamil Nadu
NILGIRIS,19,RAJA A,Dravida Munnetra Kazhagam,22,DR MURUGAN L,Bharatiya Janata Party,0,240585,Tamil Nadu
PERAMBALUR,25,ARUN NEHRU,Dravida Munnetra Kazhagam,22,CHANDRAMOHAN N D,All India Anna Dravida Munnetra Kazhagam,0,389107,Tamil Nadu
POLLACHI,21,ESWARASAMY K,Dravida Munnetra Kazhagam,22,KARTHIKEYAN A,All India Anna Dravida Munnetra Kazhagam,0,252042,Tamil Nadu
RAMANATHAPURAM,35,NAVASKANI K,Indian Union Muslim League,1,PANNEERSELVAM O S/O OTTAKARATHEVAR,Independent,0,166782,Tamil Nadu
SALEM,15,SELVAGANAPATHI T M,Dravida Munnetra Kazhagam,22,VIGNESH P,All India Anna Dravida Munnetra Kazhagam,0,70357,Tamil Nadu
SIVAGANGA,31,KARTI P CHIDAMBARAM,Indian National Congress,9,XAVIERDASS A,All India Anna Dravida Munnetra Kazhagam,0,205664,Tamil Nadu
SRIPERUMBUDUR,5,T R BAALU,Dravida Munnetra Kazhagam,22,G PREMKUMAR,All India Anna Dravida Munnetra Kazhagam,0,487029,Tamil Nadu
TENKASI,37,DR RANI SRI KUMAR,Dravida Munnetra Kazhagam,22,DR K KRISHNASAMY,All India Anna Dravida Munnetra Kazhagam,0,196199,Tamil Nadu
THANJAVUR,30,MURASOLI S,Dravida Munnetra Kazhagam,22,SIVANESAN P,Desiya Murpokku Dravida Kazhagam,0,319583,Tamil Nadu
THENI,33,THANGA TAMILSELVAN,Dravida Munnetra Kazhagam,22,TTV DHINAKARAN,Amma Makkal Munnettra Kazagam,0,278825,Tamil Nadu
THOOTHUKKUDI,36,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,22,SIVASAMY VELUMANI R,All India Anna Dravida Munnetra Kazhagam,0,392738,Tamil Nadu
TIRUCHIRAPPALLI,24,DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam,1,KARUPPAIAH. P,All India Anna Dravida Munnetra Kazhagam,0,313094,Tamil Nadu
TIRUNELVELI,38,ROBERT BRUCE C,Indian National Congress,9,NAINAR NAGENTHRAN,Bharatiya Janata Party,0,165620,Tamil Nadu
TIRUPPUR,18,"SUBBARAYAN, K.",Communist Party of India,2,"ARUNACHALAM, P.",All India Anna Dravida Munnetra Kazhagam,0,125928,Tamil Nadu
TIRUVALLUR,1,Sasikanth Senthil,Indian National Congress,9,"Balaganapathy, V. Pon",Bharatiya Janata Party,0,572155,Tamil Nadu
TIRUVANNAMALAI,11,"ANNADURAI, C.N.",Dravida Munnetra Kazhagam,22,KALIYAPERUMAL M,All India Anna Dravida Munnetra Kazhagam,0,233931,Tamil Nadu
VELLORE,8,DM KATHIR ANAND,Dravida Munnetra Kazhagam,22,AC SHANMUGAM,Bharatiya Janata Party,0,215702,Tamil Nadu
VILUPPURAM,13,RAVIKUMAR. D,Viduthalai Chiruthaigal Katchi,2,BHAGYARAJ. J,All India Anna Dravida Munnetra Kazhagam,0,70703,Tamil Nadu
VIRUDHUNAGAR,34,MANICKAM TAGORE B,Indian National Congress,9,VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,0,4379,Tamil Nadu
Adilabad,1,GODAM NAGESH,Bharatiya Janata Party,8,ATHRAM SUGUNA,Indian National Congress,8,90652,Telangana
Bhongir,14,CHAMALA KIRAN KUMAR REDDY,Indian National Congress,8,DR. BOORA NARSAIAH GOUD,Bharatiya Janata Party,8,222170,Telangana
Chevella,10,KONDA VISHWESHWAR REDDY,Bharatiya Janata Party,8,DR GADDAM RANJITH REDDY,Indian National Congress,8,172897,Telangana
Hyderabad,9,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,1,MADHAVI LATHA KOMPELLA,Bharatiya Janata Party,8,338087,Telangana
Karimnagar,3,BANDI SANJAY KUMAR,Bharatiya Janata Party,8,VELCHALA RAJENDER RAO,Indian National Congress,8,225209,Telangana
Khammam,17,RAMASAHAYAM RAGHURAM REDDY,Indian National Congress,8,NAMA NAGESWARA RAO,Bharat Rashtra Samithi,0,467847,Telangana
Mahabubabad,16,BALRAM NAIK PORIKA,Indian National Congress,8,KAVITHA MALOTH,Bharat Rashtra Samithi,0,349165,Telangana
Mahbubnagar,11,ARUNA. D. K,Bharatiya Janata Party,8,CHALLA VAMSHI CHAND REDDY,Indian National Congress,8,4500,Telangana
Malkajgiri,7,EATALA RAJENDER,Bharatiya Janata Party,8,PATNAM SUNEETHA MAHENDER REDDY,Indian National Congress,8,391475,Telangana
Medak,6,MADHAVANENI RAGHUNANDAN RAO,Bharatiya Janata Party,8,NEELAM MADHU,Indian National Congress,8,39139,Telangana
Nagarkurnool,12,DR.MALLU RAVI,Indian National Congress,8,BHARATH  PRASAD POTHUGANTI,Bharatiya Janata Party,8,94414,Telangana
Nalgonda,13,KUNDURU RAGHUVEER,Indian National Congress,8,SAIDI REDDY SHANAMPUDI,Bharatiya Janata Party,8,559905,Telangana
Nizamabad,4,ARVIND DHARMAPURI,Bharatiya Janata Party,8,JEEVANREDDY THATIPARTHI,Indian National Congress,8,109241,Telangana
Peddapalle,2,VAMSI KRISHNA GADDAM,Indian National Congress,8,SRINIVAS GOMASE,Bharatiya Janata Party,8,131364,Telangana
Secunderabad,8,G. KISHAN REDDY,Bharatiya Janata Party,8,DANAM NAGENDER,Indian National Congress,8,49944,Telangana
Warangal,15,KADIYAM KAVYA,Indian National Congress,8,AROORI RAMESH,Bharatiya Janata Party,8,220339,Telangana
Zahirabad,5,SURESH KUMAR SHETKAR,Indian National Congress,8,B. B. PATIL,Bharatiya Janata Party,8,46188,Telangana
Tripura East,2,KRITI DEVI DEBBARMAN,Bharatiya Janata Party,2,RAJENDRA REANG,Communist Party of India  (Marxist),0,486819,Tripura
Tripura West,1,BIPLAB KUMAR DEB,Bharatiya Janata Party,2,ASHISH KUMAR SAHA,Indian National Congress,0,611578,Tripura
Agra,18,PROF S P SINGH BAGHEL,Bharatiya Janata Party,33,SURESH CHAND KARDAM,Samajwadi Party,37,271294,Uttar Pradesh
Akbarpur,44,DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,33,RAJARAM PAL,Samajwadi Party,37,44345,Uttar Pradesh
Aligarh,15,SATISH KUMAR GAUTAM,Bharatiya Janata Party,33,BIJENDRA SINGH,Samajwadi Party,37,15647,Uttar Pradesh
Allahabad,52,UJJWAL RAMAN SINGH,Indian National Congress,6,NEERAJ TRIPATHI,Bharatiya Janata Party,33,58795,Uttar Pradesh
Ambedkar Nagar,55,LALJI VERMA,Samajwadi Party,37,RITESH PANDEY,Bharatiya Janata Party,33,137247,Uttar Pradesh
Amethi,37,KISHORI LAL,Indian National Congress,6,SMRITI IRANI,Bharatiya Janata Party,33,167196,Uttar Pradesh
Amroha,9,KANWAR SINGH TANWAR,Bharatiya Janata Party,33,KUNWAR DANISH ALI,Indian National Congress,6,28670,Uttar Pradesh
Aonla,24,NEERAJ MAURYA,Samajwadi Party,37,DHARMENDRA KASHYAP,Bharatiya Janata Party,33,15969,Uttar Pradesh
Azamgarh,69,DHARMENDRA YADAV,Samajwadi Party,37,DINESH LAL YADAV Ã¢ÂÂNIRAHUAÃ¢ÂÂ,Bharatiya Janata Party,33,161035,Uttar Pradesh
Badaun,23,ADITYA YADAV,Samajwadi Party,37,DURVIJAY SINGH SHAKYA,Bharatiya Janata Party,33,34991,Uttar Pradesh
Baghpat,11,DR RAJKUMAR SANGWAN,Rashtriya Lok Dal,2,AMARPAL,Samajwadi Party,37,159459,Uttar Pradesh
Baharaich,56,ANAND KUMAR,Bharatiya Janata Party,33,RAMESH CHANDRA,Samajwadi Party,37,64227,Uttar Pradesh
Ballia,72,SANATAN PANDEY,Samajwadi Party,37,NEERAJ SHEKHAR,Bharatiya Janata Party,33,43384,Uttar Pradesh
Banda,48,KRISHNA DEVI SHIVSHANKER PATEL,Samajwadi Party,37,R. K. SINGH PATEL,Bharatiya Janata Party,33,71210,Uttar Pradesh
Bansgaon,67,KAMLESH PASWAN,Bharatiya Janata Party,33,SADAL PRASAD,Indian National Congress,6,3150,Uttar Pradesh
Barabanki,53,TANUJ PUNIA,Indian National Congress,6,RAJRANI RAWAT,Bharatiya Janata Party,33,215704,Uttar Pradesh
Bareilly,25,CHHATRA PAL SINGH GANGWAR,Bharatiya Janata Party,33,PRAVEEN SINGH ARON,Samajwadi Party,37,34804,Uttar Pradesh
Basti,61,RAM PRASAD CHAUDHARY,Samajwadi Party,37,HARISH CHANDRA ALIAS HARISH DWIVEDI,Bharatiya Janata Party,33,100994,Uttar Pradesh
Bhadohi,78,DR. VINOD KUMAR BIND,Bharatiya Janata Party,33,LALITESHPATI TRIPATHI,All India Trinamool Congress,0,44072,Uttar Pradesh
Bijnor,4,CHANDAN CHAUHAN,Rashtriya Lok Dal,2,DEEPAK,Samajwadi Party,37,37508,Uttar Pradesh
Bulandshahr,14,DR BHOLA SINGH,Bharatiya Janata Party,33,SHIVRAM,Indian National Congress,6,275134,Uttar Pradesh
Chandauli,76,BIRENDRA SINGH,Samajwadi Party,37,DR. MAHENDRA NATH  PANDEY,Bharatiya Janata Party,33,21565,Uttar Pradesh
Deoria,66,SHASHANK MANI,Bharatiya Janata Party,33,AKHILESH PRATAP SINGH,Indian National Congress,6,34842,Uttar Pradesh
Dhaurahra,29,ANAND BHADAURIYA,Samajwadi Party,37,REKHA VERMA,Bharatiya Janata Party,33,4449,Uttar Pradesh
Domariyaganj,60,JAGDAMBIKA PAL,Bharatiya Janata Party,33,BHISHMA SHANKAR ALIAS KUSHAL TIWARI,Samajwadi Party,37,42728,Uttar Pradesh
Etah,22,DEVESH SHAKYA,Samajwadi Party,37,RAJVEER SINGH (RAJU BHAIYA),Bharatiya Janata Party,33,28052,Uttar Pradesh
Etawah,41,JITENDRA KUMAR DOHARE,Samajwadi Party,37,DR RAM SHANKAR KATHERIA,Bharatiya Janata Party,33,58419,Uttar Pradesh
Faizabad,54,AWADHESH PRASAD,Samajwadi Party,37,LALLU SINGH,Bharatiya Janata Party,33,54567,Uttar Pradesh
Farrukhabad,40,MUKESH RAJPUT,Bharatiya Janata Party,33,DR. NAVAL KISHOR SHAKYA,Samajwadi Party,37,2678,Uttar Pradesh
Fatehpur,49,NARESH CHANDRA UTTAM PATEL,Samajwadi Party,37,NIRANJAN JYOTI,Bharatiya Janata Party,33,33199,Uttar Pradesh
Fatehpur Sikri,19,RAJKUMAR CHAHAR,Bharatiya Janata Party,33,RAMNATH SINGH SIKARWAR,Indian National Congress,6,43405,Uttar Pradesh
Firozabad,20,AKSHAYA YADAV,Samajwadi Party,37,VISHWADEEP SINGH,Bharatiya Janata Party,33,89312,Uttar Pradesh
Gautam Buddha Nagar,13,DR. MAHESH SHARMA,Bharatiya Janata Party,33,DR. MAHENDRA SINGH NAGAR,Samajwadi Party,37,559472,Uttar Pradesh
Ghaziabad,12,ATUL GARG,Bharatiya Janata Party,33,DOLLY SHARMA,Indian National Congress,6,336965,Uttar Pradesh
Ghazipur,75,AFZAL ANSARI,Samajwadi Party,37,PARS NATH RAI,Bharatiya Janata Party,33,124861,Uttar Pradesh
Ghosi,70,RAJEEV RAI,Samajwadi Party,37,DR. ARVIND RAJBHAR,Suheldev Bharatiya Samaj Party,0,162943,Uttar Pradesh
Gonda,59,KIRTIVARDHAN SINGH,Bharatiya Janata Party,33,SHREYA VERMA,Samajwadi Party,37,46224,Uttar Pradesh
Gorakhpur,64,RAVINDRA SHUKLA ALIAS RAVI KISHAN,Bharatiya Janata Party,33,KAJAL NISHAD,Samajwadi Party,37,103526,Uttar Pradesh
Hamirpur,47,AJENDRA SINGH LODHI,Samajwadi Party,37,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,33,2629,Uttar Pradesh
Hardoi,31,JAI PRAKASH,Bharatiya Janata Party,33,USHA VERMA,Samajwadi Party,37,27856,Uttar Pradesh
Hathras,16,ANOOP PRADHAN BALMIKI,Bharatiya Janata Party,33,JASVEER VALMIKI,Samajwadi Party,37,247318,Uttar Pradesh
Jalaun,45,NARAYAN DAS AHIRWAR,Samajwadi Party,37,BHANU PRATAP SINGH VERMA,Bharatiya Janata Party,33,53898,Uttar Pradesh
Jaunpur,73,BABU SINGH KUSHWAHA,Samajwadi Party,37,KRIPASHANKAR SINGH,Bharatiya Janata Party,33,99335,Uttar Pradesh
Jhansi,46,ANURAG SHARMA,Bharatiya Janata Party,33,"PRADEEP JAIN ""ADITYA""",Indian National Congress,6,102614,Uttar Pradesh
Kairana,2,IQRA CHOUDHARY,Samajwadi Party,37,PRADEEP KUMAR,Bharatiya Janata Party,33,69116,Uttar Pradesh
Kaiserganj,57,KARAN BHUSHAN SINGH,Bharatiya Janata Party,33,BHAGAT RAM,Samajwadi Party,37,148843,Uttar Pradesh
Kannauj,42,AKHILESH YADAV,Samajwadi Party,37,SUBRAT PATHAK,Bharatiya Janata Party,33,170922,Uttar Pradesh
Kanpur,43,RAMESH AWASTHI,Bharatiya Janata Party,33,ALOK MISRA,Indian National Congress,6,20968,Uttar Pradesh
Kaushambi,50,PUSHPENDRA SAROJ,Samajwadi Party,37,VINOD KUMAR SONKAR,Bharatiya Janata Party,33,103944,Uttar Pradesh
Kheri,28,UTKARSH VERMA 'MADHUR',Samajwadi Party,37,AJAY KUMAR,Bharatiya Janata Party,33,34329,Uttar Pradesh
Kushi Nagar,65,VIJAY KUMAR DUBAY,Bharatiya Janata Party,33,AJAY PRATAP SINGH URF PINTU SAITHWAR,Samajwadi Party,37,81790,Uttar Pradesh
Lalganj,68,DAROGA PRASAD SAROJ,Samajwadi Party,37,NEELAM SONKER,Bharatiya Janata Party,33,115023,Uttar Pradesh
Lucknow,35,RAJ NATH SINGH,Bharatiya Janata Party,33,RAVIDAS MEHROTRA,Samajwadi Party,37,135159,Uttar Pradesh
Machhlishahr,74,PRIYA SAROJ,Samajwadi Party,37,BHOLANATH (B.P. SAROJ),Bharatiya Janata Party,33,35850,Uttar Pradesh
Maharajganj,63,PANKAJ CHAUDHARY,Bharatiya Janata Party,33,VIRENDRA CHAUDHARY,Indian National Congress,6,35451,Uttar Pradesh
Mainpuri,21,DIMPLE YADAV,Samajwadi Party,37,JAYVEER SINGH,Bharatiya Janata Party,33,221639,Uttar Pradesh
Mathura,17,HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party,33,MUKESH DHANGAR,Indian National Congress,6,293407,Uttar Pradesh
Meerut,10,ARUN GOVIL,Bharatiya Janata Party,33,SUNITA VERMA,Samajwadi Party,37,10585,Uttar Pradesh
Mirzapur,79,ANUPRIYA PATEL,Apna Dal (Soneylal),1,RAMESH CHAND BIND,Samajwadi Party,37,37810,Uttar Pradesh
Misrikh,32,ASHOK KUMAR RAWAT,Bharatiya Janata Party,33,SANGITA RAJVANSHI,Samajwadi Party,37,33406,Uttar Pradesh
Mohanlalganj,34,R.K. CHAUDHARY,Samajwadi Party,37,KAUSHAL KISHORE,Bharatiya Janata Party,33,70292,Uttar Pradesh
Moradabad,6,RUCHI VIRA,Samajwadi Party,37,KUNWAR SARVESH KUMAR,Bharatiya Janata Party,33,105762,Uttar Pradesh
Muzaffarnagar,3,HARENDRA SINGH MALIK,Samajwadi Party,37,SANJEEV KUMAR BALYAN,Bharatiya Janata Party,33,24672,Uttar Pradesh
Nagina,5,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),1,OM KUMAR,Bharatiya Janata Party,33,151473,Uttar Pradesh
Phulpur,51,PRAVEEN PATEL,Bharatiya Janata Party,33,AMAR NATH SINGH MAURYA,Samajwadi Party,37,4332,Uttar Pradesh
Pilibhit,26,JITIN PRASADA,Bharatiya Janata Party,33,BHAGWAT SARAN GANGWAR,Samajwadi Party,37,164935,Uttar Pradesh
Pratapgarh,39,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,37,SANGAM LAL GUPTA,Bharatiya Janata Party,33,66206,Uttar Pradesh
Rae Bareli,36,RAHUL GANDHI,Indian National Congress,6,DINESH PRATAP SINGH,Bharatiya Janata Party,33,390030,Uttar Pradesh
Rampur,7,MOHIBBULLAH,Samajwadi Party,37,GHANSHYAM SINGH LODHI,Bharatiya Janata Party,33,87434,Uttar Pradesh
Robertsganj,80,CHHOTELAL,Samajwadi Party,37,RINKI SINGH,Apna Dal (Soneylal),1,129234,Uttar Pradesh
Saharanpur,1,IMRAN MASOOD,Indian National Congress,6,RAGHAV LAKHANPAL,Bharatiya Janata Party,33,64542,Uttar Pradesh
Salempur,71,RAMASHANKAR RAJBHAR,Samajwadi Party,37,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,33,3573,Uttar Pradesh
Sambhal,8,ZIA UR REHMAN,Samajwadi Party,37,PARMESHWAR LAL SAINI,Bharatiya Janata Party,33,121494,Uttar Pradesh
Sant Kabir Nagar,62,LAXMIKANT PAPPU NISHAD,Samajwadi Party,37,PRAVIN KUMAR NISHAD,Bharatiya Janata Party,33,92170,Uttar Pradesh
Shahjahanpur,27,ARUN KUMAR SAGAR,Bharatiya Janata Party,33,JYOTSNA GOND,Samajwadi Party,37,55379,Uttar Pradesh
Shrawasti,58,RAM SHIROMANI VERMA,Samajwadi Party,37,SAKET MISRA,Bharatiya Janata Party,33,76673,Uttar Pradesh
Sitapur,30,RAKESH RATHOR,Indian National Congress,6,RAJESH VERMA,Bharatiya Janata Party,33,89641,Uttar Pradesh
Sultanpur,38,RAMBHUAL NISHAD,Samajwadi Party,37,MANEKA SANJAY GANDHI,Bharatiya Janata Party,33,43174,Uttar Pradesh
Unnao,33,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,33,ANNU TANDON,Samajwadi Party,37,35818,Uttar Pradesh
Varanasi,77,NARENDRA MODI,Bharatiya Janata Party,33,AJAY RAI,Indian National Congress,6,152513,Uttar Pradesh
Almora,3,AJAY TAMTA,Bharatiya Janata Party,5,PRADEEP TAMTA,Indian National Congress,0,234097,Uttrakand
Garhwal,2,ANIL BALUNI,Bharatiya Janata Party,5,GANESH GODIYAL,Indian National Congress,0,163503,Uttrakand
Haridwar,5,TRIVENDRA SINGH RAWAT,Bharatiya Janata Party,5,VIRENDRA RAWAT,Indian National Congress,0,164056,Uttrakand
Nainital-Udhamsingh Nagar,4,AJAY BHATT,Bharatiya Janata Party,5,PRAKASH JOSHI,Indian National Congress,0,334548,Uttrakand
Tehri Garhwal,1,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,5,JOT SINGH GUNSOLA,Indian National Congress,0,272493,Uttrakand
Alipurduars,2,MANOJ TIGGA,Bharatiya Janata Party,12,PRAKASH CHIK BARAIK,All India Trinamool Congress,29,75447,West Bengal
Arambagh,29,BAG MITALI,All India Trinamool Congress,29,ARUP KANTI DIGAR,Bharatiya Janata Party,12,6399,West Bengal
Asansol,40,SHATRUGHAN PRASAD SINHA,All India Trinamool Congress,29,SURENDRAJEET SINGH AHLUWALIA,Bharatiya Janata Party,12,59564,West Bengal
Baharampur,10,PATHAN YUSUF,All India Trinamool Congress,29,ADHIR RANJAN CHOWDHURY,Indian National Congress,1,85022,West Bengal
Balurghat,6,SUKANTA MAJUMDAR,Bharatiya Janata Party,12,BIPLAB MITRA,All India Trinamool Congress,29,10386,West Bengal
Bangaon,14,SHANTANU THAKUR,Bharatiya Janata Party,12,BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS,All India Trinamool Congress,29,73693,West Bengal
Bankura,36,ARUP CHAKRABORTY,All India Trinamool Congress,29,DR. SUBHAS SARKAR,Bharatiya Janata Party,12,32778,West Bengal
Barasat,17,KAKOLI GHOSH DASTIDAR,All India Trinamool Congress,29,SWAPAN MAJUMDER,Bharatiya Janata Party,12,114189,West Bengal
Bardhaman Purba,38,DR. SHARMILA SARKAR,All India Trinamool Congress,29,ASIM KUMAR SARKAR,Bharatiya Janata Party,12,160572,West Bengal
Bardhaman-Durgapur,39,AZAD KIRTI JHA,All India Trinamool Congress,29,DILIP GHOSH,Bharatiya Janata Party,12,137981,West Bengal
Barrackpur,15,PARTHA BHOWMICK,All India Trinamool Congress,29,ARJUN SINGH,Bharatiya Janata Party,12,64438,West Bengal
Basirhat,18,SK NURUL ISLAM,All India Trinamool Congress,29,REKHA PATRA,Bharatiya Janata Party,12,333547,West Bengal
Birbhum,42,SATABDI ROY,All India Trinamool Congress,29,DEBTANU BHATTACHARYA,Bharatiya Janata Party,12,197650,West Bengal
Bishnupur,37,KHAN SAUMITRA,Bharatiya Janata Party,12,SUJATA MONDAL,All India Trinamool Congress,29,5567,West Bengal
Bolpur,41,ASIT KUMAR MAL,All India Trinamool Congress,29,PIYA SAHA,Bharatiya Janata Party,12,327253,West Bengal
Coochbehar,1,JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,29,NISITH PRAMANIK,Bharatiya Janata Party,12,39250,West Bengal
Darjeeling,4,RAJU BISTA,Bharatiya Janata Party,12,GOPAL LAMA,All India Trinamool Congress,29,178525,West Bengal
Diamond harbour,21,ABHISHEK BANERJEE,All India Trinamool Congress,29,ABHIJIT DAS (BOBBY),Bharatiya Janata Party,12,710930,West Bengal
Dum dum,16,SOUGATA RAY,All India Trinamool Congress,29,SILBHADRA DATTA,Bharatiya Janata Party,12,70660,West Bengal
Ghatal,32,ADHIKARI DEEPAK (DEV),All India Trinamool Congress,29,DR. HIRANMOY CHATTOPADHYAYA,Bharatiya Janata Party,12,182868,West Bengal
Hooghly,28,RACHNA BANERJEE,All India Trinamool Congress,29,LOCKET CHATTERJEE,Bharatiya Janata Party,12,76853,West Bengal
Howrah,25,PRASUN BANERJEE,All India Trinamool Congress,29,DR RATHIN CHAKRAVARTY,Bharatiya Janata Party,12,169442,West Bengal
Jadavpur,22,SAYANI GHOSH,All India Trinamool Congress,29,DR. ANIRBAN GANGULY,Bharatiya Janata Party,12,258201,West Bengal
Jalpaiguri,3,DR JAYANTA KUMAR ROY,Bharatiya Janata Party,12,NIRMAL CHANDRA ROY,All India Trinamool Congress,29,86693,West Bengal
Jangipur,9,KHALILUR RAHAMAN,All India Trinamool Congress,29,MURTOJA HOSSAIN BOKUL,Indian National Congress,1,116637,West Bengal
Jhargram,33,KALIPADA SAREN (KHERWAL),All India Trinamool Congress,29,DR. PRANAT TUDU,Bharatiya Janata Party,12,174048,West Bengal
Joynagar,19,PRATIMA MONDAL,All India Trinamool Congress,29,ASHOK KANDARY,Bharatiya Janata Party,12,470219,West Bengal
Kanthi,31,ADHIKARI SOUMENDU,Bharatiya Janata Party,12,UTTAM BARIK SON OF LATE BIRENDRA BARIK,All India Trinamool Congress,29,47764,West Bengal
Kolkata Dakshin,23,MALA ROY,All India Trinamool Congress,29,DEBASREE CHAUDHURI,Bharatiya Janata Party,12,187231,West Bengal
Kolkata Uttar,24,BANDYOPADHYAY SUDIP,All India Trinamool Congress,29,TAPAS ROY,Bharatiya Janata Party,12,92560,West Bengal
Krishnanagar,12,MAHUA MOITRA,All India Trinamool Congress,29,AMRITA ROY,Bharatiya Janata Party,12,56705,West Bengal
Maldaha Dakshin,8,ISHA KHAN CHOUDHURY,Indian National Congress,1,SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),Bharatiya Janata Party,12,128368,West Bengal
Maldaha Uttar,7,KHAGEN MURMU,Bharatiya Janata Party,12,PRASUN BANERJEE,All India Trinamool Congress,29,77708,West Bengal
Mathurapur,20,BAPI HALDAR,All India Trinamool Congress,29,ASHOK PURKAIT,Bharatiya Janata Party,12,201057,West Bengal
Medinipur,34,JUNE MALIAH,All India Trinamool Congress,29,AGNIMITRA PAUL,Bharatiya Janata Party,12,27191,West Bengal
Murshidabad,11,ABU TAHER KHAN,All India Trinamool Congress,29,MD SALIM,Communist Party of India  (Marxist),0,164215,West Bengal
Purulia,35,JYOTIRMAY SINGH MAHATO,Bharatiya Janata Party,12,SHANTIRAM MAHATO,All India Trinamool Congress,29,17079,West Bengal
Raiganj,5,KARTICK CHANDRA PAUL,Bharatiya Janata Party,12,KALYANI KRISHNA,All India Trinamool Congress,29,68197,West Bengal
Ranaghat,13,JAGANNATH SARKAR,Bharatiya Janata Party,12,MUKUT MANI ADHIKARI,All India Trinamool Congress,29,186899,West Bengal
Srerampur,27,KALYAN BANERJEE,All India Trinamool Congress,29,KABIR SHANKAR BOSE,Bharatiya Janata Party,12,174830,West Bengal
Tamluk,30,ABHIJIT GANGOPADHYAY,Bharatiya Janata Party,12,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,29,77733,West Bengal
Uluberia,26,SAJDA AHMED,All India Trinamool Congress,29,ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party,12,218673,West Bengal
